id,product_id,source_name,product_url,title,offer_price,mrp,brand,model,style,color,sport_type,material,height,weight,description,image,product_attributes,tags,created_on,updated_on,num_mrp,suggested_brand_id,suggested_brand_name,is_duplicate,formatted_name
75251,B097Y6P9HS,amazon,https://www.amazon.in/Li-Ning-Turbo-Carbon-Strung-Racket/dp/B097Y6P9HS/ref=sr_1_2243?qid=1676981624&s=sports&sr=1-2243,Li-Ning Turbo Strung Badminton Racket,1699,3890,Li-Ning,NULL,NULL,NULL,Badminton,Carbon Fibre,NULL,NULL," Player Level - Beginner   Player Type - Senior, Unisex   Max Racket Tension - 30 lbs   Playing Style - Attacking   Powerful Strikes - TB Nanometer technology combines carbon fiber and resin more closely, to provide better elasticity, stability, and durability to bring you more power in every strike.  ",https://m.media-amazon.com/images/I/41Mi7gVCq+L._SY300_SX300_.jpg,[],NULL,21-02-2023,21-02-2023,1699,NULL,li,FALSE,lining_turbo_strung_badminton_racket
60034,B09VDQRFRV,amazon,https://www.amazon.in/Li-Ning-Raider-Double-Polyester-Badminton/dp/B09VDQRFRV/ref=sr_1_6611?qid=1679427804&s=sports&sr=1-6611,Li-Ning Raider Max Double Zipper Polyester Badminton Kit Bag (Blue),1549,1990,Li-Ning,NULL,NULL,Blue,Badminton,Nylon,NULL,NULL, All Buckled - The Raider Max Kit Bag features a technically devised buckle to hold the straps intact.   Premium Finish - Your weapon holder deserves an outlandish look and so we have left no stone unturned to ensure it wears a polished look.   Unbreakable Zipper - The Raider Max Kit Bag is equipped with high-quality smooth zippers that won’t succumb easily.   Top Material - This bag is crafted with premium lightweight tear-resistant fabric and high-grade polyester for a superior finish.   Easy Mobility - The Li-Ning Raider Max Kitbag comes with rounded stitched grip handles that give you the option of easy mobility.  ,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31Jg1nOMlhL._SX300_SY300_QL70_ML2_.jpg,[],NULL,16-01-2023,21-03-2023,1029,NULL,li,FALSE,lining_raider_max_double_zipper_polyester_badminton_kit_bag
69872,B08BY28TFV,amazon,https://www.amazon.in/Li-Ning-G-Force-3900-Superlite-AYPQ114-5/dp/B08BY28TFV/ref=sr_1_318?qid=1679437948&s=sports&sr=1-318,"Li-Ning G-Force 3900 Superlite Carbon Fibre Strung Badminton Racket (Black, Gold, G4 - 4 1/2 inches)",1980,4490,Li-Ning,NULL,NULL,NULL,Badminton,Carbon Fibre,NULL,NULL," Weight: 79 gm; Stabilized elastic shaft: Aramid fiber is a kind of material with high strength, high modulus, good elasticity and toughness. It is the main material of body armor and helmet   Material: Military grade carbon fiber   Li-Ning g force series is made with strong material know as ultra carbon fiber. This material gives excellent rigidity to sustain impact load at very low weight   Material: Carbon-fiber   Skill Level: Intermediate; Frame Material Type: Graphite  ",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41oKeN8lpxL._SX300_SY300_QL70_ML2_.jpg,[],NULL,24-01-2023,21-03-2023,1990,NULL,li,FALSE,lining_gforce_3900_superlite_carbon_fibre_strung_badminton_racket_gold_g4_4_12_inches
32534,B0933GM3P6,amazon,https://www.amazon.in/Li-Ning-Lockdown-Aluminum-Badminton-Shuttlecocks/dp/B0933GM3P6/ref=sr_1_3642?qid=1679439153&s=sports&sr=1-3642,Li-Ning Super Smasher Badminton Kit (2 x Li-Ning Rackets & 6 x Nylon Shuttlecocks),1299,3179,Li-Ning,NULL,NULL,NULL,Badminton,Aluminum,NULL,NULL, Top-quality badminton racket powered by duralumin technology for high performance.   A technically sound nylon shuttlecock engineered with a fully synthetic base.   Included Components: 2 x Strung Badminton Racket + 1 Bolt Boost Nylon Shuttlecock  ,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41Ydm3sp+TL._SY300_SX300_.jpg,[],NULL,06-01-2023,21-03-2023,1299,NULL,li,FALSE,lining_super_smasher_badminton_kit_2_x_lining_rackets__6_x_nylon_shuttlecocks
61711,B0881N1YTK,amazon,https://www.amazon.in/Li-Ning-Carbon-Strung-Badminton-Racket/dp/B0881N1YTK/ref=sr_1_22824?qid=1673918144&s=sports&sr=1-22824,"Li-Ning Air Force 80 Lite Carbon Fiber Strung Badminton Racket with Free Full Cover(Black/White,Pack of 1)",2850,5590,Li-Ning,NULL,NULL,NULL,badminton,Carbon Fibre,NULL,NULL," Weight: 80 gm   Tension : Upto 30 lbs   Material : Military Grade Carbon Fibre   We re-engineered the first-generation Air Force rackets. The Air Force G2 embodies lightweight military-grade material optimization. The optimization allows you to launch an attack and swiftly switch to defense at your own will, without sacrificing mobility. The Air Force G2 starts at 77 grams, and it is engineered with a flexible shaft which, helps you achieve powerful smashes. This makes the Air-Force G2 series a real force to reckon with.  ",https://m.media-amazon.com/images/I/41PAElHILQL._SX300_SY300_QL70_ML2_.jpg,[],NULL,17-01-2023,17-01-2023,2850,NULL,li,FALSE,lining_air_force_80_lite_carbon_fiber_strung_badminton_racket_with_free_full_coverblackwhitepack_of_1
63751,B091DVWNSS,amazon,https://www.amazon.in/Li-Ning-G-Force-Superlite-Ignite-Badminton/dp/B091DVWNSS/ref=sr_1_3675?qid=1674581727&s=sports&sr=1-3675,Li-Ning Ignite 7 Speed Racket- Carbon Fibre - Strung - 77 Grams. - Free Full Cover,2990,5490,Li-Ning,NULL,NULL,NULL,badminton,Carbon Fibre,NULL,NULL," Material: Full Ultralite Carbon Graphite   Weight: 77 gm   The Li-Ning G-Force Superlight Ignite 7 is a speed racket is powered by Superlight technology that makes it very light without compromising on smash power.   The racket has been carefully crafted with a High Tensile Slim Shaft for effective rebound balance and anti-torsion making way for precise power transmission.   In-box Contents: 1 x Badminton Racquet, 1 x full cover  ",https://m.media-amazon.com/images/I/41Okz9SyzUS._SX300_SY300_QL70_ML2_.jpg,[],NULL,22-01-2023,24-01-2023,2990,NULL,li,FALSE,lining_ignite_7_speed_racket_carbon_fibre_strung_77_grams_free_full_cover
60028,B098DXGZMG,amazon,https://www.amazon.in/Li-Ning-Mega-Power-9-Strung/dp/B098DXGZMG/ref=sr_1_330?qid=1679307823&s=sports&sr=1-330,Li-Ning Mega Power 9 - (Strung ) Aluminum Badminton Racket ( Black / Gold),499,1190,Li-Ning,NULL,NULL,NULL,Badminton,Aluminum,NULL,NULL, HYBRID CONSTRUCTION - The Li-Ning Mega Power racket has a hybrid 2 piece construction that makes the racket more balanced and sturdy with Li-Ning's meticulous craftwork. Duralumin material with a mix of Ferrum and aluminum forms a highly durable composite that withstands high tension and powerful smashes.   SMASH POWER FRAME - The Li-Ning Smash Power Frame technology helps improve the overall racket performance with reduced air resistance and aids in the smooth maneuverability of the racket.   WEIGHT & TENSION - The Li-Ning Mega Power racket weighs 95 grams and can withstand string tension of up to 24 Lbs. These factors make it an ideal badminton racket for all those starting to play the game or trying to know it better.   ULTRA SMASH SPEED SHAFT - The Li-Ning Mega Power racket helps balance the rebound and anti-torsion performance of the racket and facilitates smooth power transmission.   FREE FULL COVER - The Li-Ning Mega Power racket comes equipped with a high-quality full cover to keep it safe and secure.  ,https://m.media-amazon.com/images/I/41FUK11NavL._SX300_SY300_QL70_ML2_.jpg,[],NULL,16-01-2023,20-03-2023,499,NULL,li,FALSE,lining_mega_power_9_strung__aluminum_badminton_racket___gold
32539,B08Q46TJGV,amazon,https://www.amazon.in/Li-Ning-Elite-Kit-Bag-Polyester-Multicolour/dp/B08Q46TJGV/ref=sr_1_4598?qid=1679431153&s=sports&sr=1-4598,"Li-Ning Elite X Kit-Bag, Polyester, Multicolour",902.49,2090,Li-Ning,NULL,NULL,Camo Lime,Badminton,Polyester,NULL,NULL," Material: Polyester   2 Large compartments, Thermal insulation, Padded bottom for extra safety   Versatile cushioned straps   In-Box Content: 1 Badminton Kit Bag  ",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41ZCOo4BRJL._SX300_SY300_QL70_ML2_.jpg,[],NULL,06-01-2023,21-03-2023,950,NULL,li,FALSE,lining_elite_x_kitbag
68015,B08M65BJKR,amazon,https://www.amazon.in/Li-Ning-Carbon-Strung-Badminton-Racket/dp/B08M65BJKR/ref=sr_1_2030?qid=1679438523&s=sports&sr=1-2030,"Li-Ning Air Force 77 G2 Carbon Fiber Strung Badminton Racket with Free Full Cover(Black/Red,Pack of 1)",2961,5590,Li-Ning,NULL,NULL,NULL,Badminton,Carbon Fibre,NULL,NULL," Weight: 77 gm   Tension : Upto 30 lbs   Material : Military Grade Carbon Fibre   We re-engineered the first-generation Air Force rackets. The Air Force G2 embodies lightweight military-grade material optimization. The optimization allows you to launch an attack and swiftly switch to defense at your own will, without sacrificing mobility. The Air Force G2 starts at 77 grams, and it is engineered with a flexible shaft which, helps you achieve powerful smashes. This makes the Air-Force G2 series a real force to reckon with.  ",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41up6eBY-nL._SX300_SY300_QL70_ML2_.jpg,[],NULL,24-01-2023,21-03-2023,2850,NULL,li,FALSE,lining_air_force_77_g2_carbon_fiber_strung_badminton_racket_with_free_full_coverblackredpack_of_1
33522,B08Q41VPM9,amazon,https://www.amazon.in/Li-Ning-Strung-Badminton-Racket-Cover/dp/B08Q41VPM9/ref=sr_1_5135?qid=1674582288&s=sports&sr=1-5135,Li-Ning XP 777 PRO Strung Aluminum Badminton Racket with Head Cover (White/Silver),409,1190,Li-Ning,NULL,NULL,NULL,badminton,Aluminum,NULL,NULL, Included Components: 1 x Strung Badminton Racket  ,https://m.media-amazon.com/images/I/31AOTdRj2HL._SX300_SY300_QL70_ML2_.jpg,[],NULL,06-01-2023,24-01-2023,409,NULL,li,FALSE,lining_xp_777_pro_strung_aluminum_badminton_racket_with_head_coversilver
