normalized_title,offer_price_amazon,mrp_amazon,offer_price_prokick,mrp_prokick,offer_price_instasports,mrp,best_price_platform
li-ning turbo x iii carbon fibre strung badminton racket,1799.0,4090.0,,,,,Amazon
"li-ning xp 901-pv sindhu signature series aluminum-alloy strung badminton racquet (set of 1,black/green , s2 , 90-95 grams , 18-20 lbs )",499.0,1190.0,,,,,Amazon
"li-ning xp-70-iv strung aluminum badminton racket with free head cover(black/gold,set of 1)",399.0,990.0,,,,,Amazon
li-ning gc002 cotton single layer towel grip for badminton racquet,355.0,399.0,,,,,Amazon
"li-ning windstorm 700 special edition badminton unstrung carbon fiber racket with free full cover (79 grams, 30 lbs)",7675.0,12790.0,,,,,Amazon
"li-ning windstorm 700 special edition badminton unstrung carbon fiber racket with free full cover (79 grams, 30 lbs)",7490.0,9990.0,,,,,Amazon
"li-ning 3d calibar x combat carbon graphite strung badminton racquet, 85 grams, 30 lbs string tension and free full cover(black/lime)",4290.0,7990.0,,,,,Amazon
"li-ning xp 707 pro strung badminton racket (2xrackets + 1 kit bag, red/yellow)",1529.0,3679.0,,,,,Amazon
"li-ning carbon fibre super series 900 strung badminton racket with full cover (84 grams, grey/copper)",2149.0,4290.0,,,,,Amazon
li-ning champ abdp374 polyester badminton kit-bag with shoe bag,1890.0,,,,,,Amazon
"li-ning bolt gold (6 in 1 nylon shuttlecock), yellow",585.0,1399.0,,,,,Amazon
"li-ning turbo 99 strung carbon fibre badminton racket with free full cover, black, orange",1890.0,4590.0,,,,,Amazon
li-ning xp-303 pro - (strung) aluminium frame badminton racket+ full cover (black/green),499.0,1190.0,,,,,Amazon
li-ning swift x100 nylon shuttlecock,349.0,869.0,,,,,Amazon
li-ning gp-20 badminton raquets (lime),145.0,199.0,,,,,Amazon
li-ning gp-20 badminton raquets grip 3pc (black),250.0,300.0,,,,,Amazon
li-ning tectonic 3r strung carbon fibre badminton racket with free full cover,5290.0,5290.0,,,,,Amazon
li-ning turbo charging z drive carbon fibre (black/gold) badminton racket with free full cover,4190.0,4590.0,,,,,Amazon
li-ning air force g2 badminton racket,2940.0,5590.0,,,,,Amazon
"li-ning super series 2020 - (strung) badminton racquets with free full cover graphite, strung (black/gold) with free full cover",1990.0,4490.0,,,,,Amazon
li-ning raider max double zipper polyester badminton kit bag (black),1549.0,1990.0,,,,,Amazon
"li-ning xp-90-iv aluminum strung badminton racket (2 x rackets + 2 x full covers, white/silver)",899.0,1980.0,,,,,Amazon
li-ning wind lite 900 carbon fiber strung badminton racket with full cover ( navy/red),3390.0,5990.0,,,,,Amazon
"li-ning xp-505 pro - (strung badminton racket) black / gold , set of 2 + 1 full cover+attack nylon shuttle",1127.72,3270.0,,,,,Amazon
li-ning g-tek gx strung graphite badminton racquet with free cover,949.0,2590.0,,,,,Amazon
"li-ning wrist band for badminton / tennis players, set of 2 -black",599.0,699.0,,,,,Amazon
"li-ning aluminum badminton racket mega power 5, black/green",420.91,1190.0,,,,,Amazon
li-ning diwali gift pack,755.28,2380.0,,,,,Amazon
