,Unnamed: 0,normalized_title,offer_price_amazon,mrp_amazon,offer_price_prokick,mrp_prokick,offer_price_instasports,mrp,clean_title,color,pack_size,limited_edition,speed
376,376,"yonex shoe bag sunr msb01l-s, red/maroon",,,519.0,520.0,,,"yonex shoe bag sunr msb01l-s, /","red, maroon",,No,
377,377,yonex polo badminton t shirt - pureed pumpkin,,,1185.0,1390.0,,,yonex polo badminton t shirt - pureed pumpkin,,,No,
378,378,"yonex astrox 77 play strung badminton racquet, 4u-g5 (high orange)",,,2999.0,5190.0,,,"yonex astrox 77 play strung badminton racquet, 4u-g5",orange,,No,
379,379,yonex power cushion 65 z men badminton shoe,,,9775.0,13390.0,,,yonex power cushion 65 z men badminton shoe,,,No,
380,380,yonex aerus z men badminton shoes,,,10045.0,13390.0,,,yonex aerus z men badminton shoes,,,No,
381,381,yonex bg 66 ultimax badminton string - pack of 5 strings,,,3390.0,3675.0,,,yonex bg 66 ultimax badminton string - strings,,pack of 5,No,
382,382,"yonex round neck badminton t-shirt, imperial blue",,,929.0,1090.0,,,"yonex round neck badminton t-shirt, imperial",blue,,No,
383,383,"yonex round neck badminton t-shirt, jet black",,,929.0,1090.0,,,"yonex round neck badminton t-shirt, jet",black,,No,
384,384,"yonex round neck badminton t-shirt, tango red",,,1015.0,1190.0,,,"yonex round neck badminton t-shirt, tango",red,,No,
385,385,"yonex round neck badminton t-shirt, poseidon",,,1015.0,1190.0,,,"yonex round neck badminton t-shirt, poseidon",,,No,
386,386,yonex sunr 2225 badminton kitbag,,,819.0,1490.0,,,yonex sunr 2225 badminton kitbag,,,No,
387,387,"yonex junior round neck badminton t-shirt, jet black",,,895.0,1050.0,,,"yonex junior round neck badminton t-shirt, jet",black,,No,
388,388,"yonex junior round neck badminton t-shirt, jet black",,,979.0,1150.0,,,"yonex junior round neck badminton t-shirt, jet",black,,No,
389,389,"yonex junior round neck badminton t-shirt, high risk red",,,895.0,1050.0,,,"yonex junior round neck badminton t-shirt, high risk",red,,No,
390,390,"yonex junior round neck badminton t-shirt, jet black/pigeon",,,979.0,1150.0,,,"yonex junior round neck badminton t-shirt, jet /pigeon",black,,No,
391,391,yonex ac 104 ex wave grap badminton grip tape - yellow (1 pc),,,405.0,449.0,,,yonex ac 104 ex wave grap badminton grip tape -,yellow,,No,
392,392,yonex tritan 550ml water bottle,,,675.0,749.0,,,yonex tritan 550ml water bottle,,,No,
393,393,yonex badminton racquet nanoflare lite 29is red,,,2095.0,2990.0,,,yonex badminton racquet nanoflare lite 29is,red,,No,
394,394,"yonex voltric lite 25i graphite badminton racquet (5u, g4, 30 lbs tension)",,,1795.0,2990.0,,,yonex voltric lite 25i graphite badminton racquet,,,No,
395,395,yonex astrox 22f badminton racket,,,6015.0,8590.0,,,yonex astrox 22f badminton racket,,,No,
396,396,yonex polo badminton t shirt - patriot blue,,,1185.0,1390.0,,,yonex polo badminton t shirt - patriot,blue,,No,
397,397,yonex junior polo badminton t shirt - jet black,,,1149.0,1350.0,,,yonex junior polo badminton t shirt - jet,black,,No,
398,398,yonex ac138-3ex mesh grap synthetic over grip,,,765.0,850.0,,,yonex ac138-3ex mesh grap synthetic over grip,,,No,
399,399,yonex astrox 88d play badminton racquet - camel gold,,,3065.0,5190.0,,,yonex astrox 88d play badminton racquet - camel,gold,,No,
400,400,yonex junior 23 tennis racquet,,,2505.0,3580.0,,,yonex junior 23 tennis racquet,,,No,
401,401,yonex vcore 25 tennis racquet,,,4905.0,8380.0,,,yonex vcore 25 tennis racquet,,,No,
402,402,yonex astrox 1 dg badminton racquet - blue/black,,,3499.0,6250.0,,,yonex astrox 1 dg badminton racquet - /,"blue, black",,No,
403,403,yonex arcsaber 71 light strung badminton racquet 5u5 - white,,,2205.0,3150.0,,,yonex arcsaber 71 light strung badminton racquet 5u5 -,white,,No,
404,404,"yonex 11502 wrist band, navy/red (pack of 2)",,,390.0,398.0,,,"yonex 11502 wrist band, /","navy, red",pack of 2,No,
405,405,"yonex 11501 wrist band, red/white (pack of 2)",,,390.0,398.0,,,"yonex 11501 wrist band, /","red, white",pack of 2,No,
406,406,"yonex 11488 wrist band, white/navy (pack of 2)",,,390.0,398.0,,,"yonex 11488 wrist band, /","white, navy",pack of 2,No,
407,407,"yonex 11488 wrist band, yellow/black (pack of 2)",,,390.0,398.0,,,"yonex 11488 wrist band, /","yellow, black",pack of 2,No,
408,408,"yonex 11488 wrist band, black/gold (pack of 2)",,,390.0,398.0,,,"yonex 11488 wrist band, /","black, gold",pack of 2,No,
409,409,"yonex 08489 wrist band, navy/white (pack of 2)",,,351.0,358.0,,,"yonex 08489 wrist band, /","navy, white",pack of 2,No,
410,410,"yonex sunr-9031p trm tour edition trolly bag, black/red",,,1795.0,3990.0,,,"yonex sunr-9031p trm tour edition trolly bag, /","black, red",,No,
411,411,"yonex shbcd1ex cascade drive power cushion badminton shoe , teal blue",,,10195.0,11990.0,,,"yonex shbcd1ex cascade drive power cushion badminton shoe , teal",blue,,No,
412,412,yonex ac 141ex badminton net,,,2095.0,2990.0,,,yonex ac 141ex badminton net,,,No,
413,413,yonex ezone game tennis racquet,,,8745.0,13450.0,8649.0,13450.0,yonex ezone game tennis racquet,,,No,
414,414,yonex ezone feel tennis racquet,,,8745.0,13450.0,7949.0,12225.0,yonex ezone feel tennis racquet,,,No,
415,415,"yonex smash heat strung tennis racquet, blue",,,3569.0,6490.0,,,"yonex smash heat strung tennis racquet,",blue,,No,
416,416,li-ning super series ss900 strung badminton racquet - olive gold/grey,,,2189.0,4290.0,,,li-ning super series ss900 strung badminton racquet - olive /,"gold, grey",,No,
417,417,li-ning super series ss900 strung badminton racquet - black/blue,,,2189.0,4290.0,,,li-ning super series ss900 strung badminton racquet - /,"black, blue",,No,
418,418,li-ning super series ss900 strung badminton racquet - navy/gold,,,2189.0,4290.0,,,li-ning super series ss900 strung badminton racquet - /,"navy, gold",,No,
419,419,li-ning windstorm 75 carbon-fiber badminton racquet unstrung red/gold,,,8955.0,13990.0,,,li-ning windstorm 75 carbon-fiber badminton racquet unstrung /,"red, gold",,No,
420,420,li-ning turbo 99 carbon fibre racket with free full cover black/red,,,1885.0,4590.0,,,li-ning turbo 99 carbon fibre racket with free full cover /,"black, red",,No,
421,421,li-ning turbo 99 carbon fibre racket with free full cover black/orange,,,1885.0,4590.0,,,li-ning turbo 99 carbon fibre racket with free full cover /,"black, orange",,No,
422,422,li-ning xp 900 junior badminton racquet for age 4 yrs to 10 yrs - red/orange (half cover),,,545.0,1090.0,,,li-ning xp 900 junior badminton racquet for age 4 yrs to 10 yrs - /,"red, orange",,No,
423,423,"li-ning aden088 kinesiology tape, skin",,,295.0,390.0,,,"li-ning aden088 kinesiology tape, skin",,,No,
424,424,li-ning ultra speed badminton shoes,,,3489.0,4590.0,,,li-ning ultra speed badminton shoes,,,No,
425,425,"li-ning axforce 90 unstrung badminton racquet, navy/red",,,15075.0,25990.0,,,"li-ning axforce 90 unstrung badminton racquet, /","navy, red",,No,
426,426,"li-ning sports and training badminton shorts, grey",,,749.0,999.0,,,"li-ning sports and training badminton shorts,",grey,,No,
427,427,"li-ning g200 feather shuttlecock, speed 76 (pack of 12 shuttles)",,,1395.0,1990.0,,,"li-ning g200 feather shuttlecock,",,pack of 12,No,speed 76
428,428,"li-ning aplr291 polo neck badminton tshirt, orange",,,899.0,1199.0,,,"li-ning aplr291 polo neck badminton tshirt,",orange,,No,
429,429,"li-ning atss995 round neck badminton tshirt, red",,,1495.0,1990.0,,,"li-ning atss995 round neck badminton tshirt,",red,,No,
430,430,li-ning bolt super shuttles 3 in 1 combo (bolt neo + max + hybrid) 3 in 1 shuttles pack,,,836.0,1423.0,,,li-ning bolt super shuttles 3 in 1 combo 3 in 1 shuttles pack,,,No,
431,431,li-ning no. 7 boost professional badminton string - white,,,445.0,750.0,,,li-ning no. 7 boost professional badminton string -,white,,No,
432,432,li-ning gp 18 polyurethane replacement grip (pack of 3),,,589.0,690.0,,,li-ning gp 18 polyurethane replacement grip,,pack of 3,No,
433,433,"li-ning atsn455-2 round neck t-shirt for men, maroon/black",,,599.0,799.0,,,"li-ning atsn455-2 round neck t-shirt for men, /","maroon, black",,No,
434,434,li-ning gp 25 supergrip velvet touch badminton racquet over grip (pack of 5) - orange,,,379.0,480.0,,,li-ning gp 25 supergrip velvet touch badminton racquet over grip -,orange,pack of 5,No,
435,435,li-ning sports kitbag - black lime,,,1259.0,1799.0,,,li-ning sports kitbag -,"black, lime",,No,
436,436,"li-ning abds681 racquet kitbag , blue",,,1295.0,1990.0,,,"li-ning abds681 racquet kitbag ,",blue,,No,
437,437,"li-ning turbo 70 light weight strung badminton racquet, black/green",,,1795.0,3590.0,,,"li-ning turbo 70 light weight strung badminton racquet, /","black, green",,No,
438,438,"li-ning badminton polo neck tshirt, white",,,1645.0,2190.0,,,"li-ning badminton polo neck tshirt,",white,,No,
439,439,"li-ning strike speed 76 feather shuttlecock, white natural",,,1089.0,1490.0,,,"li-ning strike feather shuttlecock, natural",white,,No,speed 76
440,440,"li-ning aden088 kinesiology tape, yellow",,,295.0,390.0,,,"li-ning aden088 kinesiology tape,",yellow,,No,
441,441,li-ning lei ting professional badminton competition shoes,,,9595.0,11990.0,,,li-ning lei ting professional badminton competition shoes,,,No,
442,442,"li-ning aqtr tritan water bottle - 850ml , blue",,,599.0,799.0,,,"li-ning aqtr tritan water bottle - 850ml ,",blue,,No,
443,443,li-ning kt tape original kinesiology therapeutic supporter 1roll uncut - beige,,,1019.0,1399.0,,,li-ning kt tape original kinesiology therapeutic supporter 1roll uncut -,beige,,No,
444,444,li-ning turbo charging z boost badminton racquet,,,4189.0,7790.0,,,li-ning turbo charging z boost badminton racquet,,,No,
445,445,"li-ning xiphos x1 unstrung badminton racquet , red/silver",,,11515.0,17990.0,,,"li-ning xiphos x1 unstrung badminton racquet , /","red, silver",,No,
446,446,"li-ning nano non marking badminton court shoes, black/orange",,,3595.0,4790.0,,,"li-ning nano non marking badminton court shoes, /","black, orange",,No,
447,447,"li-ning saga no.10 mesh badminton shoes, (blue/orange)",,,2755.0,4590.0,,,"li-ning saga no.10 mesh badminton shoes,","blue, orange",,No,
448,448,"li-ning c80 feather shuttlecock, speed 76 (pack of 12)",,,2605.0,3890.0,,,"li-ning c80 feather shuttlecock,",,pack of 12,No,speed 76
449,449,"li-ning ayts024 lei ting train badminton training shoes, standard white",,,4495.0,5990.0,,,"li-ning ayts024 lei ting train badminton training shoes, standard",white,,No,
450,450,"li-ning atsr685 round neck badminton tshirt, navy",,,749.0,999.0,,,"li-ning atsr685 round neck badminton tshirt,",navy,,No,
451,451,li-ning xp 707 pro strung badminton racket - red/yellow (set of 2),,,1166.0,2380.0,,,li-ning xp 707 pro strung badminton racket - /,"red, yellow",,No,
452,452,"li-ning g force x5 badminton racquet, 82 grams",,,2995.0,5990.0,,,"li-ning g force x5 badminton racquet, 82 grams",,,No,
453,453,"li-ning professional basketball shoes, snow grey/basic white",,,3355.0,5590.0,,,"li-ning professional basketball shoes, snow /basic","grey, white",,No,
454,454,"li-ning xp 505 pro strung badminton racket with free head cover, black/orange",,,475.0,1190.0,,,"li-ning xp 505 pro strung badminton racket with free head cover, /","black, orange",,No,
455,455,"li-ning abcm012-1 female basketball shoes, basic black/basic white",,,3175.0,5290.0,,,"li-ning abcm012-1 female basketball shoes, basic /basic","black, white",,No,
456,456,li-ning quick dry moisture management junior sports trackpant black,,,1195.0,1590.0,,,li-ning quick dry moisture management junior sports trackpant,black,,No,
457,457,"li-ning xp80 iv strung badminton racquet, grey/green",,,495.0,990.0,,,"li-ning xp80 iv strung badminton racquet, /","grey, green",,No,
458,458,"li-ning xp70 iv strung badminton racquet, black/gold",,,495.0,990.0,,,"li-ning xp70 iv strung badminton racquet, /","black, gold",,No,
459,459,li-ning g-tek 58 gx graphite strung badminton racquets (red/amber),,,1295.0,2590.0,,,li-ning g-tek 58 gx graphite strung badminton racquets,red,,No,
460,460,"li-ning abds683 racquet kitbag , navy/silver",,,1285.0,2290.0,,,"li-ning abds683 racquet kitbag , /","navy, silver",,No,
461,461,"li-ning tectonic 7c full-carbon fiber badminton racket, (charcoal/gold)",,,12875.0,22990.0,,,"li-ning tectonic 7c full-carbon fiber badminton racket,","charcoal, gold",,No,
462,462,"li-ning wrist band for badminton / tennis players, set of 2 -grey",,,370.0,378.0,,,"li-ning wrist band for badminton / tennis players, set of 2 -",grey,,No,
463,463,li-ning gp35 badminton dual color grip (pack of3) - navy,,,445.0,987.0,,,li-ning gp35 badminton dual color grip -,navy,,No,
464,464,"li-ning abcm012-3 female basketball shoes, basic white/grey",,,2995.0,4990.0,,,"li-ning abcm012-3 female basketball shoes, basic /","white, grey",,No,
465,465,"li-ning blaze 100 strung badminton racquet, 84g",,,2795.0,5590.0,,,"li-ning blaze 100 strung badminton racquet, 84g",,,No,
466,466,"li-ning combat z8 strung badminton racquet, 80g",,,2895.0,5790.0,,,"li-ning combat z8 strung badminton racquet, 80g",,,No,
467,467,li-ning panther badminton racquet kitbag,,,1189.0,1890.0,,,li-ning panther badminton racquet kitbag,,,No,
468,468,"li-ning ayts024 lei ting train badminton training shoes, interstellar blue/standard white",,,4495.0,5990.0,,,"li-ning ayts024 lei ting train badminton training shoes, interstellar /standard","blue, white",,No,
469,469,"li-ning no 1 nylon badminton string roll , sea blue",,,8255.0,13990.0,,,"li-ning no 1 nylon badminton string roll , sea",blue,,No,
470,470,li-ning saga lite 7 badminton shoes,,,4655.0,6290.0,,,li-ning saga lite 7 badminton shoes,,,No,
471,471,li-ning halbertec 8000 vip set,,,21595.0,35990.0,,,li-ning halbertec 8000 vip set,,,No,
472,472,"li-ning ranger td non marking badminton shoes, standard black/silver grey",,,5995.0,7990.0,,,"li-ning ranger td non marking badminton shoes, standard /","black, silver, grey",,No,
473,473,li-ning windstorm nano 73 professional badminton racquet unstrung black,,,8549.0,14490.0,,,li-ning windstorm nano 73 professional badminton racquet unstrung,black,,No,
474,474,li-ning aeronaut 7000c combat badminton racquet - black/red,,,13795.0,22990.0,,,li-ning aeronaut 7000c combat badminton racquet - /,"black, red",,No,
475,475,"li-ning xiphos x1 unstrung badminton racquet , white/silver",,,11515.0,17990.0,,,"li-ning xiphos x1 unstrung badminton racquet , /","white, silver",,No,
476,476,li-ning ranger vi lite badminton shoes,,,5995.0,7990.0,,,li-ning ranger vi lite badminton shoes,,,No,
477,477,li-ning turbo 99 carbon fibre racket with free full cover black/gold,,,1885.0,4590.0,,,li-ning turbo 99 carbon fibre racket with free full cover /,"black, gold",,No,
478,478,"li-ning windstorm 79-h unstrung badminton racquet, white/red",,,6815.0,10990.0,,,"li-ning windstorm 79-h unstrung badminton racquet, /","white, red",,No,
